Id,Image,Time,X,Y,Z,Heading,Roll,Pitch,Camera,Quality,Line,Color,AccuracyXy
194,p000193.jpg,1728324130,85218.08047,446936.2062,1.5536,-17.7203,-3.4079,-1.1356,0,1,0,C0;0;0;0;0;0,0.1
195,p000194.jpg,1728324131,85218.48195,446935.8972,1.5457,37.6025,-2.4819,-2.752,0,1,0,C0;0;0;0;0;0,0.1
196,p000195.jpg,1728324132,85219.10966,446935.4143,1.5225,42.0096,0.5395,-5.6478,0,1,0,C0;0;0;0;0;0,0.1
197,p000196.jpg,1728324133,85219.82774,446934.8534,1.5362,46.3581,-2.0844,-4.4925,0,1,0,C0;0;0;0;0;0,0.1
198,p000197.jpg,1728324134,85220.24692,446934.2541,1.5395,74.7706,0.7121,-1.3371,0,1,0,C0;0;0;0;0;0,0.1
199,p000198.jpg,1728324135,85219.92111,446933.9204,1.5123,131.9393,-1.0419,-5.1681,0,1,0,C0;0;0;0;0;0,0.1
200,p000199.jpg,1728324136,85219.44586,446933.3251,1.4954,139.8129,-1.8476,-6.054,0,1,0,C0;0;0;0;0;0,0.1
201,p000200.jpg,1728324137,85218.76389,446932.5993,1.5233,137.8403,1.3355,-7.3512,0,1,0,C0;0;0;0;0;0,0.1
202,p000201.jpg,1728324138,85218.17642,446931.8781,1.515,129.5754,0.9534,-4.7087,0,1,0,C0;0;0;0;0;0,0.1
203,p000202.jpg,1728324139,85217.58804,446931.0786,1.5088,126.2377,-1.1011,-5.9091,0,1,0,C0;0;0;0;0;0,0.1
204,p000203.jpg,1728324140,85217.11192,446930.2083,1.5232,111.3771,-0.3046,-8.0718,0,1,0,C0;0;0;0;0;0,0.1
205,p000204.jpg,1728324141,85217.06798,446929.2982,1.5261,83.6193,-2.4938,-5.2008,0,1,0,C0;0;0;0;0;0,0.1
206,p000205.jpg,1728324142,85217.39572,446928.4204,1.505,62.7521,-0.0151,-6.154,0,1,0,C0;0;0;0;0;0,0.1
207,p000206.jpg,1728324143,85218.00964,446927.6593,1.5106,45.7334,1.2578,-4.8611,0,1,0,C0;0;0;0;0;0,0.1
208,p000207.jpg,1728324144,85218.59299,446927.0114,1.5065,55.1367,1.415,-3.5033,0,1,0,C0;0;0;0;0;0,0.1
209,p000208.jpg,1728324145,85218.53326,446926.3782,1.4837,113.7228,0.1781,-6.9634,0,1,0,C0;0;0;0;0;0,0.1
210,p000209.jpg,1728324146,85218.13811,446925.8199,1.4904,123.4091,-2.1846,-4.3206,0,1,0,C0;0;0;0;0;0,0.1
211,p000210.jpg,1728324147,85217.59927,446925.0545,1.5126,128.5363,-1.732,-3.214,0,1,0,C0;0;0;0;0;0,0.1
212,p000211.jpg,1728324148,85217.0267,446924.4938,1.4792,146.4436,-1.5217,-5.1619,0,1,0,C0;0;0;0;0;0,0.1
213,p000212.jpg,1728324149,85216.51262,446924.3468,1.4805,176.6381,-2.4885,-6.2911,0,1,0,C0;0;0;0;0;0,0.1
214,p000213.jpg,1728324150,85216.10078,446923.9899,1.466,139.1453,-0.7891,-9.2923,0,1,0,C0;0;0;0;0;0,0.1
