Image,X,Y
p000241.jpg,85197.680,446902.829
p000242.jpg,85197.213,446902.349
p000243.jpg,85196.662,446901.710
p000244.jpg,85196.222,446901.143
p000245.jpg,85195.683,446900.651
p000246.jpg,85195.350,446900.385
p000247.jpg,85195.009,446900.516
p000248.jpg,85194.592,446900.886
p000249.jpg,85194.111,446901.310
p000250.jpg,85193.579,446901.771
p000251.jpg,85193.044,446902.236
p000252.jpg,85192.451,446902.756
p000253.jpg,85191.853,446903.252
p000254.jpg,85191.191,446903.768
p000255.jpg,85190.580,446904.309
p000256.jpg,85189.949,446904.835
p000257.jpg,85189.259,446905.435
p000258.jpg,85188.618,446905.995
p000259.jpg,85187.961,446906.510
p000260.jpg,85187.409,446907.047
p000261.jpg,85187.502,446907.508
p000262.jpg,85187.888,446907.957
p000263.jpg,85188.572,446908.608
p000264.jpg,85189.054,446909.184
p000265.jpg,85189.553,446909.770
p000266.jpg,85190.053,446910.368
p000267.jpg,85190.551,446910.978
p000268.jpg,85190.953,446911.351
p000269.jpg,85191.360,446911.572
p000270.jpg,85191.727,446911.147
p000271.jpg,85192.223,446910.557
p000272.jpg,85192.972,446909.799
p000273.jpg,85193.871,446909.115
p000274.jpg,85194.622,446908.441
p000275.jpg,85195.349,446907.769
p000276.jpg,85196.234,446907.108
p000277.jpg,85197.131,446906.502
p000278.jpg,85198.039,446906.067
p000279.jpg,85198.869,446905.453
p000280.jpg,85199.310,446904.940
p000281.jpg,85199.568,446905.002
p000282.jpg,85200.270,446904.839
p000283.jpg,85200.950,446904.359
p000284.jpg,85201.600,446903.607
p000285.jpg,85202.341,446902.838
p000286.jpg,85203.108,446902.129
p000287.jpg,85203.919,446901.426
p000288.jpg,85204.708,446900.811
p000289.jpg,85205.356,446900.212
p000290.jpg,85205.559,446899.551
p000291.jpg,85205.225,446898.946
p000292.jpg,85204.700,446898.363
p000293.jpg,85204.251,446897.763
p000294.jpg,85203.819,446897.136
p000295.jpg,85203.371,446896.630
p000296.jpg,85202.889,446896.690
p000297.jpg,85202.313,446897.183
p000298.jpg,85201.613,446897.910
p000299.jpg,85200.908,446898.731
p000300.jpg,85200.153,446899.523
p000301.jpg,85199.425,446900.148
p000302.jpg,85198.639,446900.426
p000303.jpg,85197.841,446900.047
p000304.jpg,85197.091,446899.418
p000305.jpg,85196.326,446898.711
p000306.jpg,85195.850,446898.055
p000307.jpg,85196.123,446898.134
p000308.jpg,85196.519,446898.910
p000309.jpg,85197.202,446899.661
p000310.jpg,85197.937,446900.354
p000311.jpg,85198.781,446900.525
p000312.jpg,85199.494,446899.961
p000313.jpg,85200.218,446899.255
p000314.jpg,85201.034,446898.519
p000315.jpg,85201.943,446897.839
p000316.jpg,85202.865,446897.468
p000317.jpg,85203.777,446897.613
p000318.jpg,85204.548,446898.163
p000319.jpg,85205.330,446898.811
p000320.jpg,85206.241,446899.055
p000321.jpg,85207.131,446898.722
p000322.jpg,85207.949,446898.230
p000323.jpg,85208.692,446897.634
p000324.jpg,85209.402,446896.988
p000325.jpg,85210.113,446896.330
p000326.jpg,85210.846,446895.596
p000327.jpg,85211.586,446894.884
p000328.jpg,85212.408,446894.218
p000329.jpg,85213.264,446893.522
p000330.jpg,85214.099,446892.796
p000331.jpg,85214.929,446892.059
p000332.jpg,85215.793,446891.327
p000333.jpg,85216.624,446890.705
p000334.jpg,85217.308,446890.091
p000335.jpg,85217.557,446889.419
p000336.jpg,85217.176,446888.787
p000337.jpg,85216.478,446888.009
p000338.jpg,85215.759,446887.156
p000339.jpg,85215.049,446886.273
p000340.jpg,85214.408,446885.431
p000341.jpg,85213.789,446884.624
p000342.jpg,85213.180,446883.936
p000343.jpg,85212.744,446883.863
p000344.jpg,85213.103,446884.249
p000345.jpg,85213.702,446884.812
p000346.jpg,85214.453,446885.611
p000347.jpg,85215.101,446886.388
p000348.jpg,85215.768,446887.149
p000349.jpg,85216.466,446887.860
p000350.jpg,85217.190,446888.614
p000351.jpg,85217.878,446889.055
p000352.jpg,85218.593,446888.778
p000353.jpg,85219.362,446888.301
p000354.jpg,85220.148,446887.601
p000355.jpg,85220.926,446887.009
p000356.jpg,85221.657,446886.537
p000357.jpg,85222.348,446886.133
p000358.jpg,85223.162,446885.715
p000359.jpg,85223.983,446885.161
p000360.jpg,85224.809,446884.528
p000361.jpg,85225.751,446883.901
p000362.jpg,85226.636,446883.293
p000363.jpg,85227.374,446882.629
p000364.jpg,85227.666,446881.786
p000365.jpg,85227.364,446881.056
p000366.jpg,85226.572,446880.738
p000367.jpg,85225.625,446880.956
p000368.jpg,85224.769,446881.319
p000369.jpg,85223.939,446881.685
p000370.jpg,85223.048,446881.989
p000371.jpg,85222.098,446881.950
p000372.jpg,85221.224,446881.461
p000373.jpg,85220.395,446880.751
p000374.jpg,85219.614,446879.901
p000375.jpg,85218.874,446879.025
p000376.jpg,85218.173,446878.137
p000377.jpg,85217.469,446877.186
p000378.jpg,85216.788,446876.265
p000379.jpg,85216.042,446875.360
p000380.jpg,85215.362,446874.488
p000381.jpg,85214.598,446873.584
p000382.jpg,85213.882,446872.682
p000383.jpg,85213.185,446871.815
p000384.jpg,85212.397,446870.902
p000385.jpg,85211.600,446870.033
p000386.jpg,85210.720,446869.079
p000387.jpg,85209.907,446868.182
p000388.jpg,85209.188,446867.274
p000389.jpg,85208.415,446866.400
p000390.jpg,85207.666,446865.526
p000391.jpg,85206.960,446864.639
p000392.jpg,85206.233,446863.716
p000393.jpg,85205.482,446862.799
p000394.jpg,85204.675,446861.892
p000395.jpg,85203.888,446861.066
p000396.jpg,85203.128,446860.203
p000397.jpg,85202.445,446859.371
p000398.jpg,85201.786,446858.512
p000399.jpg,85201.038,446857.579
p000400.jpg,85200.315,446856.723
p000401.jpg,85199.620,446855.834
p000402.jpg,85198.885,446855.016
p000403.jpg,85198.003,446854.285
p000404.jpg,85196.968,446853.872
p000405.jpg,85195.940,446854.033
p000406.jpg,85195.149,446854.655
p000407.jpg,85194.456,446855.355
p000408.jpg,85193.863,446856.092
p000409.jpg,85193.203,446856.831
p000410.jpg,85192.475,446857.532
p000411.jpg,85191.575,446858.122
p000412.jpg,85190.625,446858.709
p000413.jpg,85189.875,446858.627
p000414.jpg,85189.354,446857.886
p000415.jpg,85189.259,446858.138
p000416.jpg,85189.740,446858.818
p000513.jpg,85189.915,446859.264
p000514.jpg,85190.530,446859.537
