Image,X,Y
p000247.jpg,85196.50546,446903.4961
p000248.jpg,85196.08118,446903.8588
p000249.jpg,85195.59338,446904.2737
p000250.jpg,85195.05341,446904.7259
p000251.jpg,85194.51044,446905.181
p000252.jpg,85193.90831,446905.6907
p000253.jpg,85193.30162,446906.1769
p000254.jpg,85192.63101,446906.6809
p000255.jpg,85192.01068,446907.2112
p000256.jpg,85191.37132,446907.7262
p000257.jpg,85190.67068,446908.3142
p000258.jpg,85190.01994,446908.8633
p000259.jpg,85189.35452,446909.3661
p000260.jpg,85188.79282,446909.8937
p000261.jpg,85188.87823,446910.3558
p000262.jpg,85189.25632,446910.8121
p000263.jpg,85189.92834,446911.4749
p000264.jpg,85190.40002,446912.0594
p000265.jpg,85190.88911,446912.6531
p000266.jpg,85191.37836,446913.2598
p000267.jpg,85191.86661,446913.8786
p000268.jpg,85192.26195,446914.2589
p000269.jpg,85192.66516,446914.4863
p000270.jpg,85193.03871,446914.0681
p000271.jpg,85193.54556,446913.4871
p000272.jpg,85194.30698,446912.7415
p000273.jpg,85195.21748,446912.0736
p000274.jpg,85195.98041,446911.4125
p000275.jpg,85196.71884,446910.7534
p000276.jpg,85197.61572,446910.1078
p000277.jpg,85198.52248,446909.5174
p000278.jpg,85199.4379,446909.0981
p000279.jpg,85200.27887,446908.4993
p000280.jpg,85200.72867,446907.994
p000281.jpg,85200.98546,446908.0599
p000282.jpg,85201.69028,446907.9097
p000283.jpg,85202.37888,446907.4409
p000284.jpg,85203.04156,446906.7002
p000285.jpg,85203.7952,446905.945
p000286.jpg,85204.57446,446905.2491
p000287.jpg,85205.39769,446904.5599
p000288.jpg,85206.19781,446903.9587
p000289.jpg,85206.85535,446903.371
p000290.jpg,85207.07059,446902.714
p000291.jpg,85206.74626,446902.1036
p000292.jpg,85206.23222,446901.511
p000293.jpg,85205.79301,446900.9039
p000294.jpg,85205.37219,446900.2691
p000295.jpg,85204.93326,446899.7557
p000296.jpg,85204.45,446899.8071
p000297.jpg,85203.86537,446900.2902
p000298.jpg,85203.15326,446901.0042
p000299.jpg,85202.4337,446901.8135
p000300.jpg,85201.66577,446902.592
p000301.jpg,85200.92685,446903.2042
p000302.jpg,85200.13644,446903.4691
p000303.jpg,85199.34439,446903.0759
p000304.jpg,85198.60611,446902.4343
p000305.jpg,85197.85306,446901.7133
p000306.jpg,85197.38873,446901.0499
p000307.jpg,85197.6604,446901.1333
p000308.jpg,85198.04274,446901.916
p000309.jpg,85198.71304,446902.6785
p000310.jpg,85199.43561,446903.3848
p000311.jpg,85200.27663,446903.5706
p000312.jpg,85200.99895,446903.0181
p000313.jpg,85201.73561,446902.3256
p000314.jpg,85202.56393,446901.6032
p000315.jpg,85203.48451,446900.939
p000316.jpg,85204.41325,446900.5846
p000317.jpg,85205.32208,446900.7455
p000318.jpg,85206.08302,446901.3086
p000319.jpg,85206.85393,446901.9703
p000320.jpg,85207.76022,446902.2297
p000321.jpg,85208.65636,446901.9121
p000322.jpg,85209.48253,446901.4349
p000323.jpg,85210.23553,446900.852
p000324.jpg,85210.9572,446900.2176
p000325.jpg,85211.67989,446899.5723
p000326.jpg,85212.42476,446898.8511
p000327.jpg,85213.17738,446898.1519
p000328.jpg,85214.01074,446897.5002
p000329.jpg,85214.8788,446896.8193
p000330.jpg,85215.72626,446896.1079
p000331.jpg,85216.569,446895.3858
p000332.jpg,85217.44514,446894.6692
p000333.jpg,85218.28664,446894.0609
p000334.jpg,85218.98129,446893.459
p000335.jpg,85219.24254,446892.7914
p000336.jpg,85218.87256,446892.1531
p000337.jpg,85218.18765,446891.3628
p000338.jpg,85217.48358,446890.4976
p000339.jpg,85216.78929,446889.6028
p000340.jpg,85216.16341,446888.7496
p000341.jpg,85215.55847,446887.9322
p000342.jpg,85214.96149,446887.2338
p000343.jpg,85214.52617,446887.1532
p000344.jpg,85214.87877,446887.5449
p000345.jpg,85215.46771,446888.1187
p000346.jpg,85216.20529,446888.9305
p000347.jpg,85216.83884,446889.7183
p000348.jpg,85217.49261,446890.4914
p000349.jpg,85218.17892,446891.2136
p000350.jpg,85218.88924,446891.9805
p000351.jpg,85219.56927,446892.4337
p000352.jpg,85220.28879,446892.1692
p000353.jpg,85221.0666,446891.7048
p000354.jpg,85221.86414,446891.0192
p000355.jpg,85222.65245,446890.4404
p000356.jpg,85223.39172,446889.9814
p000357.jpg,85224.08987,446889.589
p000358.jpg,85224.91046,446889.1851
