ID,x,y
791,42.288,-39.124
792,42.183,-39.046
793,33.635,-30.967
794,34.402,-31.881
795,29.788,-27.328
796,29.597,-27.448
797,26.315,-24.433
798,26.239,-24.343
799,28.153,-21.506
800,45.277,-38.151
801,53.752,-45.445
802,26.067,-24.205
803,18.438,-27.658
804,27.714,-21.429
805,28.039,-21.728
806,47.862,-44.188
807,25.942,-24.067
808,27.625,-21.361
809,27.943,-21.666
810,53.779,-49.714
811,49.118,-45.435
812,25.679,-23.842
813,27.537,-21.274
814,27.861,-21.571
815,28.349,-22.033
816,52.758,-48.709
817,30.686,-28.4
818,25.876,-17.616
819,36.036,-29.103
820,49.543,-45.77
821,43.071,-39.846
822,56.654,-52.344
823,41.36,-38.297
824,51.423,-47.523
825,30.319,-28.037
826,60.528,-56.006
827,59.246,-54.831
828,43.323,-40.116
829,25.191,-22.664
830,25.555,-23.728
831,40.657,-37.658
832,41.169,-38.164
833,24.892,-23.061
834,24.997,-23.178
835,25.255,-23.43
836,30.844,-28.598
837,50.488,-46.773
838,51.624,-47.819
839,24.845,-23.045
840,25.209,-23.395
841,34.638,-32.151
842,40.592,-37.686
843,55.362,-47.162
844,39.934,-36.953
845,39.982,-37.015
846,59.984,-51.825
847,31.808,-25.293
848,40.303,-37.334
849,55.746,-51.604
850,31.678,-29.326
851,52.405,-48.403
852,31.945,-25.365
853,27.226,-20.996
854,27.339,-21.094
855,26.736,-20.981
856,39.977,-36.967
857,27.187,-20.953
858,26.549,-21.164
859,54.24,-50.063
860,47.916,-44.292
861,46.418,-42.906
862,45.157,-37.639
863,29.927,-27.746
864,62.484,-57.644
865,41.615,-38.474
866,46.243,-42.725
867,50.128,-46.271
868,72.28,-62.223
869,40.38,-37.324
870,48.971,-45.197
871,39.336,-36.342
872,39.317,-36.277
873,35.415,-32.8
874,29.533,-27.394
875,39.261,-36.331
876,32.808,-30.374
877,46.592,-43.132
878,45.988,-42.572
879,39.299,-32.008
880,52.237,-48.353
881,69.923,-64.704
882,50.126,-46.511
883,46.845,-39.096
884,55.149,-51.011
885,54.705,-50.604
886,33.755,-31.291
887,32.193,-30.068
888,58.688,-54.275
889,38.93,-36.065
890,56.406,-52.185
891,31.756,-29.454
892,63.2,-58.388
893,62.764,-57.984
894,62.056,-57.335
895,60.974,-56.271
896,56.111,-51.808
897,43.132,-39.874
898,53.855,-45.497
899,46.034,-42.533
900,40.95,-37.867
901,38.836,-35.934
902,34.131,-31.621
903,38.267,-31.312
904,35.136,-32.521
905,31.738,-25.154
906,64.038,-59.05
907,48.157,-44.516
908,35.344,-28.59
909,35.751,-28.837
910,45.346,-38.234
911,66.411,-61.399
912,65.242,-60.315
913,45.383,-38.292
914,51.365,-47.562
915,51.711,-47.965
916,47.704,-44.217
917,38.522,-35.715
918,41.912,-34.652
919,33.472,-30.99
920,56.212,-52.014
921,45.634,-42.236
922,38.427,-35.598
923,53.302,-45.06
924,58.696,-54.273
925,47.447,-43.906
926,57.418,-53.065
927,39.623,-36.687
928,38.22,-35.371
929,38.242,-35.382
930,34.985,-32.406
931,38.138,-35.266
932,45.565,-42.065
933,51.052,-42.836
934,39.628,-36.658
935,56.668,-52.258
936,37.88,-35.09
937,45.131,-41.79
938,37.803,-35.025
939,55.869,-51.683
940,45.103,-41.822
941,37.571,-34.845
942,45.16,-41.881
943,31.854,-32.503
944,32.216,-32.181
945,34.632,-32.043
946,35.504,-28.624
947,37.443,-34.7
948,60.451,-55.849
949,62.855,-58.079
950,57.078,-52.694
951,53.611,-49.49
952,37.383,-34.619
953,31.128,-28.854
954,34.009,-31.314
955,31.043,-33.425
956,30.665,-33.825
957,30.337,-34.191
958,30.005,-34.554
959,47.437,-43.837
960,37.138,-34.423
961,50.184,-42.171
962,50.458,-42.411
963,63.483,-58.72
964,65.772,-60.924
965,37.032,-34.305
966,44.805,-37.264
967,50.171,-42.14
968,53.85,-45.568
969,44.684,-37.139
970,36.921,-34.204
971,53.674,-49.609
